song_id,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,contains_hyphen,contains_feat,is_derived,contains_parentheses,language,num_syllables,avg_chars_per_word,num_uppercase_words,num_lowercase_words,sentiment,num_syllables_missing
17950,60,188050,0.526,0.5589999999999999,0.631,1.39e-06,5,0.107,-7.197,1,0.0992,143.879,1,0.17,0,0,0,1,1,3.0,7.0,7,-5,0.3125,0
10432,44,143280,0.0516,0.539,0.927,0.0,5,0.225,-6.465,1,0.126,88.49700000000001,1,0.524,0,0,0,0,0,4.0,3.6666666666666665,2,1,0.0,0
9692,44,189466,0.0179,0.638,0.8170000000000001,0.0,10,0.338,-5.021,0,0.0636,101.028,1,0.716,0,0,0,0,0,2.0,4.0,1,0,0.0,0
357,64,214080,0.579,0.601,0.574,1.14e-05,2,0.216,-8.166,1,0.03,147.964,1,0.8,0,0,0,0,0,3.0,3.0,3,0,0.0,0
282,13,120173,0.7140000000000001,0.599,0.7040000000000001,0.0,8,0.521,-8.566,0,0.243,173.043,1,0.95,0,0,0,0,1,4.0,4.25,3,1,0.0,0
18410,41,186346,0.254,0.917,0.381,0.000814,0,0.295,-6.98,1,0.0771,103.966,1,0.49,0,1,0,1,1,2.0,8.0,3,-2,0.0,0
6447,78,192789,0.000194,0.6559999999999999,0.821,0.00232,0,0.101,-4.838,1,0.0325,117.948,0,0.7909999999999999,0,0,0,0,0,3.0,4.666666666666667,3,0,0.45,0
860,44,311506,0.00372,0.865,0.836,0.00551,1,0.301,-6.087999999999999,1,0.225,102.754,1,0.248,0,0,0,0,0,3.0,5.5,2,0,0.0,0
17847,86,235315,0.128,0.7340000000000001,0.7929999999999999,0.0,6,0.0658,-4.731,1,0.0454,89.961,1,0.511,0,1,0,1,0,4.0,5.666666666666667,5,-2,0.0,0
12978,49,225066,0.0991,0.8170000000000001,0.639,0.000176,0,0.0401,-6.13,0,0.0548,68.51100000000001,1,0.522,0,0,0,0,1,5.0,4.2,4,1,0.0,0
5545,41,260000,0.275,0.318,0.828,7.170000000000001e-05,3,0.325,-4.9910000000000005,0,0.104,119.798,1,0.118,0,0,0,0,1,1.0,4.0,1,0,0.0,0
11235,34,388813,0.535,0.378,0.5710000000000001,4.53e-06,9,0.105,-8.97,1,0.0334,128.17700000000002,0,0.229,0,0,0,0,0,7.0,5.75,3,1,0.0,0
9684,4,224640,0.0003,0.418,0.945,0.0,7,0.106,-3.757,1,0.0683,165.041,1,0.693,0,0,0,0,1,2.0,4.0,2,0,0.0,0
3499,42,198473,0.5479999999999999,0.436,0.687,7.57e-06,5,0.105,-7.882999999999999,0,0.123,88.762,1,0.117,0,1,0,1,1,2.0,4.5,6,-4,0.1363636363636363,0
5456,61,245786,0.544,0.747,0.8029999999999999,3.54e-06,3,0.0938,-4.74,1,0.0307,125.016,1,0.746,0,0,0,0,1,6.0,4.333333333333333,6,0,0.5,0
588,51,273013,4.91e-05,0.542,0.8390000000000001,0.0,3,0.0471,-4.404,0,0.0487,121.026,1,0.611,1,0,1,1,1,3.0,4.333333333333333,6,-3,0.0,0
16580,60,167000,0.516,0.6579999999999999,0.525,0.0,2,0.0936,-10.368,0,0.0632,174.16,1,0.836,0,0,0,0,0,3.0,3.333333333333333,3,0,0.0,0
3920,43,150733,0.602,0.6459999999999999,0.519,0.0,0,0.238,-9.592,1,0.0724,135.915,1,0.7709999999999999,0,0,0,0,0,4.0,3.6666666666666665,1,2,0.0,0
16033,45,287293,0.191,0.474,0.5760000000000001,0.000352,7,0.32,-6.502000000000002,1,0.225,74.066,1,0.436,0,0,0,0,0,2.0,6.5,2,0,0.0,0
5824,50,170160,0.856,0.28,0.302,0.0295,9,0.104,-9.68,0,0.0297,155.032,1,0.107,0,0,0,0,0,3.496065437978878,4.666666666666667,2,1,0.0,1
6616,36,139293,4.17e-06,0.321,0.929,0.925,2,0.181,-4.367,1,0.0584,96.25,0,0.309,0,0,0,0,1,4.0,4.75,3,1,0.0,0
17674,78,108085,0.924,0.6940000000000001,0.0935,0.0,0,0.0958,-13.712,1,0.0438,131.18200000000002,1,0.551,1,0,1,0,0,3.0,10.0,3,-2,0.0,0
2813,33,283946,9.12e-05,0.7040000000000001,0.917,0.00546,1,0.0459,-7.902,0,0.122,110.606,1,0.336,1,0,0,0,1,2.0,5.5,4,-2,0.0,0
6757,59,218000,0.0008289999999999,0.419,0.866,0.0003,9,0.104,-3.944,1,0.0463,162.061,1,0.764,0,0,0,0,1,3.0,5.0,3,0,0.1,0
13395,54,226400,0.995,0.757,0.00875,0.965,10,0.106,-29.108,1,0.0686,74.96300000000002,1,0.314,0,0,0,0,1,6.0,4.8,5,0,0.0,0
2469,72,312426,0.317,0.652,0.5489999999999999,0.0,6,0.104,-7.555,0,0.039,120.073,1,0.186,0,0,0,0,1,3.0,5.5,2,0,0.0,0
